Date,Open,High,Low,Close,Adj Close,Volume
01-10-2010,35.07,35.470001,34.759998,35.43,30.229097,6503500
04-10-2010,35.299999,35.299999,34.349998,34.540001,29.469746,5883300
05-10-2010,34.77,35.130001,34.549999,35.07,29.921938,6887400
06-10-2010,35.040001,35.220001,33.939999,33.950001,28.966356,13815400
07-10-2010,34.389999,34.59,34.110001,34.34,29.299112,6878900
08-10-2010,34.450001,34.549999,34.189999,34.349998,29.307636,6022300
11-10-2010,34.09,34.900002,34.07,34.650002,29.563595,6746300
12-10-2010,34.52,35.060001,34.439999,35.02,29.879272,6766300
13-10-2010,35.09,35.619999,35.02,35.32,30.135252,8050100
14-10-2010,35.259998,36.259998,35.23,35.779999,30.527714,10274300
15-10-2010,36.009998,36.23,35.77,35.98,30.698357,7825200
18-10-2010,36.09,36.369999,35.84,36.25,30.92872,8035000
19-10-2010,35.630001,35.919998,34.919998,35.299999,30.118185,13178200
20-10-2010,35.459999,36.75,35.450001,36.73,31.338263,10386500
21-10-2010,36.849998,36.849998,36.119999,36.490002,31.133507,6840200
22-10-2010,36.700001,37.259998,36.419998,37.259998,31.790464,6622900
25-10-2010,37.52,37.950001,37.459999,37.560001,32.046421,7456100
26-10-2010,37.509998,37.689999,37.150002,37.57,32.054962,8050600
27-10-2010,37.25,37.360001,35.700001,35.93,30.655704,12700700
28-10-2010,36.279999,36.400002,35.950001,36.25,30.92872,6281600
29-10-2010,36.400002,36.93,35.810001,36.049999,30.758083,6696900
01-11-2010,36.27,36.639999,35.700001,36.110001,30.809278,7671800
02-11-2010,36.400002,37.09,36.360001,37,31.568634,9988000
03-11-2010,36.650002,37.450001,36.07,36.66,31.278536,10730400
04-11-2010,37,37.049999,36.380001,36.799999,31.397993,6839700
05-11-2010,36.73,37.189999,36.48,36.860001,31.449184,7190400
08-11-2010,36.630001,37.18,36.610001,37.119999,31.671028,4370500
09-11-2010,37.240002,37.279999,36.810001,36.98,31.551563,6027600
10-11-2010,36.709999,37.169998,35.970001,37.16,31.705147,8385100
11-11-2010,36.970001,37.5,36.740002,37.470001,31.969631,5396400
12-11-2010,37.209999,37.330002,36.23,36.669998,31.287073,7373900
15-11-2010,36.32,36.380001,35.439999,35.470001,30.263224,9124200
16-11-2010,35.279999,35.380001,34.810001,35.009998,29.870752,10840800
17-11-2010,35.09,35.34,34.580002,35.330002,30.143778,9578000
18-11-2010,34.59,35.950001,34.5,35.630001,30.399736,9207900
19-11-2010,35.540001,36.490002,35.34,36,30.715422,14341600
22-11-2010,37.310001,37.419998,35.57,36.459999,31.107903,14972500
23-11-2010,36.150002,36.34,35.779999,36.049999,30.758083,6577900
24-11-2010,36.610001,36.75,36.02,36.18,30.869011,6306100
26-11-2010,35.759998,36.27,35.740002,35.880001,30.613029,2972200
29-11-2010,35.540001,36.669998,35.049999,36.59,31.218821,10899000
30-11-2010,36.32,36.98,36.040001,36.52,31.159086,12039400
01-12-2010,37.139999,37.900002,37.139999,37.669998,32.140274,11012000
02-12-2010,37.68,38.060001,37.639999,38.049999,32.464493,8600200
03-12-2010,37.709999,37.98,37.380001,37.82,32.374615,5383200
06-12-2010,37.669998,37.880001,37.240002,37.290001,31.920929,5179900
07-12-2010,37.470001,37.619999,36.73,36.77,31.47579,8523900
08-12-2010,36.91,37.009998,36.68,36.84,31.535721,5753700
09-12-2010,37.209999,37.209999,36.43,36.650002,31.373072,8309700
10-12-2010,36.790001,36.849998,36.43,36.669998,31.390196,7979300
13-12-2010,36.759998,37.860001,36.619999,36.900002,31.58708,11122300
14-12-2010,36.59,37.080002,36.34,36.5,31.244665,8351800
15-12-2010,36.27,36.34,35.110001,35.450001,30.345848,13520200
16-12-2010,35.450001,35.759998,34.939999,35.610001,30.482819,10177800
17-12-2010,35.599998,35.610001,34.970001,35.049999,30.003445,18279900
20-12-2010,35.290001,35.330002,34.98,35.18,30.114729,6407700
21-12-2010,35.119999,35.810001,35.049999,35.330002,30.243139,6873900
22-12-2010,35.41,35.869999,35.279999,35.84,30.679691,5115000
23-12-2010,35.82,36.099998,35.630001,35.77,30.619774,3808500
27-12-2010,35.5,35.709999,35.450001,35.540001,30.422892,2810600
28-12-2010,35.509998,35.77,35.380001,35.720001,30.576973,3082900
29-12-2010,35.84,36.029999,35.669998,35.91,30.739626,3593700
30-12-2010,35.91,36.029999,35.720001,35.939999,30.765297,2865500
31-12-2010,36.040001,36.209999,35.790001,36.110001,30.910826,2828000
03-01-2011,36.380001,37.18,36.369999,37.130001,31.783957,8212400
04-01-2011,37.029999,37.5,36.830002,37.470001,32.075008,6724300
05-01-2011,37.5,37.810001,37.290001,37.59,32.177731,7528100
06-01-2011,37.959999,38.400002,37.740002,38.369999,32.845428,7157300
07-01-2011,38.380001,38.540001,38.049999,38.450001,32.913914,6437700
10-01-2011,38.540001,38.650002,38.009998,38.450001,32.913914,5725300
11-01-2011,38.529999,39.099998,38.34,39.080002,33.453201,5569100
12-01-2011,39.23,39.330002,38.810001,38.860001,33.264862,5872400
13-01-2011,39.27,39.599998,38.93,39.599998,33.898323,8618200
14-01-2011,39.48,40.900002,39.41,40.77,34.899872,10560400
18-01-2011,40.790001,40.990002,40.470001,40.880001,34.99403,6738900
19-01-2011,40.869999,41.02,40.110001,40.560001,34.7201,9424600
20-01-2011,40,40.5,39.369999,40.310001,34.506104,11293100
21-01-2011,40.580002,40.59,40.130001,40.41,34.59169,7384200
24-01-2011,40.41,40.5,39.700001,39.810001,34.078091,7604100
25-01-2011,39.689999,41,39.650002,40.619999,34.771477,10000100
26-01-2011,40.59,41.130001,40.110001,40.25,34.454731,8937900
27-01-2011,40.939999,42.419998,40.439999,42.290001,36.201019,13558000
28-01-2011,42.310001,42.439999,40.860001,40.93,35.036835,7767400
31-01-2011,41.02,41.32,40.709999,41.049999,35.139557,7320400
01-02-2011,41.360001,42.18,41.290001,42.07,36.012688,9074600
02-02-2011,41.740002,42.259998,41.669998,41.950001,35.909969,4285800
03-02-2011,41.779999,44.09,40.900002,43.040001,36.84304,14831200
04-02-2011,43.150002,43.900002,42.040001,42.490002,36.372231,8338500
07-02-2011,42.139999,42.259998,41.57,41.810001,35.790134,7114100
08-02-2011,41.52,42.549999,41.389999,41.970001,35.927094,5618500
09-02-2011,41.970001,42.459999,41.830002,42.07,36.012688,5232500
10-02-2011,42.279999,42.580002,42.02,42.43,36.320862,5457200
11-02-2011,42.16,42.84,42.040001,42.380001,36.278061,5051100
14-02-2011,42.240002,42.509998,41.619999,42.459999,36.346542,3752200
15-02-2011,42.110001,42.459999,41.889999,42.029999,35.978458,4392700
16-02-2011,42.200001,42.560001,41.990002,42.5,36.380791,4993700
17-02-2011,42.34,42.75,42.150002,42.59,36.457832,4823300
18-02-2011,42.689999,43.299999,42.560001,42.84,36.671837,6034900
22-02-2011,43.860001,44.330002,42.73,42.959999,36.774555,10738900
23-02-2011,42.580002,43.689999,42.560001,42.91,36.731754,7102200
24-02-2011,42.830002,43.349998,42.380001,42.75,36.594788,6313200
25-02-2011,42.849998,43.02,42.41,42.52,36.397915,5498700
28-02-2011,42.669998,42.939999,42.349998,42.580002,36.449253,6644900
01-03-2011,42.560001,42.959999,42.380001,42.450001,36.337978,5547400
02-03-2011,42.549999,43.790001,42.450001,43.560001,37.288155,7233800
03-03-2011,44.27,44.889999,43.740002,44.790001,38.451412,8739600
04-03-2011,44.639999,44.860001,43.869999,44.450001,38.159519,5622100
07-03-2011,44.470001,44.77,43.310001,43.560001,37.395481,6084100
08-03-2011,43.599998,44.099998,43.119999,43.830002,37.627258,4696700
09-03-2011,43.91,44.509998,43.529999,44.490002,38.193859,4553400
10-03-2011,44.290001,44.290001,43.599998,43.790001,37.592926,5117600
11-03-2011,43.880001,44.060001,43.259998,43.59,37.421223,4774800
14-03-2011,43.299999,43.43,42.849998,43.16,37.052086,4516400
15-03-2011,42.34,43.080002,42.16,42.790001,36.734451,4397900
16-03-2011,42.68,42.689999,41.459999,41.860001,35.936054,7141200
17-03-2011,42.400002,42.73,41.91,42.27,36.288029,5850600
18-03-2011,42.369999,42.849998,42.299999,42.599998,36.571327,7372200
21-03-2011,42.830002,43.43,42.66,43.189999,37.077831,4592100
22-03-2011,43.259998,43.709999,42.66,42.740002,36.691528,4505300
23-03-2011,42.639999,42.869999,42.389999,42.75,36.7001,3348200
24-03-2011,43.240002,43.939999,43.009998,43.799999,37.601494,3917900
25-03-2011,43.630001,44.02,43.599998,43.75,37.558586,4190300
28-03-2011,43.91,44.049999,43.509998,43.869999,37.661613,3531100
29-03-2011,43.75,44.48,43.75,44.48,38.185272,4202900
30-03-2011,44.720001,45.580002,44.580002,45.400002,38.97509,6533900
31-03-2011,45.639999,45.75,45.110001,45.200001,38.803375,5374300
01-04-2011,45.5,45.740002,45.299999,45.610001,39.155369,4511600
04-04-2011,45.939999,46.09,45.52,45.599998,39.14677,3499900
05-04-2011,44.860001,45.27,44.779999,45.09,38.708954,4950900
06-04-2011,45.189999,45.259998,44.830002,44.959999,38.597347,5158600
07-04-2011,44.77,48.580002,44.419998,44.43,38.142361,7706300
08-04-2011,44.619999,45.240002,44.139999,44.380001,38.099438,4723900
11-04-2011,44.330002,44.490002,43.84,44.32,38.047913,6048700
12-04-2011,44.189999,44.900002,44.029999,44.810001,38.468582,3959100
